image,prompt,label,label_idx
./data/parrot/parrot-20.jpg,"generate an image of a parrot that is in the one piece universe and has a weird power, it should be helping someone take over the world in a cartoonish style",parrot,0
./data/axolotl/axolotl-35.jpg,Please generate an image of a axolotl for me,axolotl,2
./data/parrot/parrot-121.jpg,generate an image of a realistic parrot as a pirate in a kung fu pose,parrot,0
./data/axolotl/axolotl-241.jpg,"Cute axolotl with fairy wings smiling in aquarium garden, Studio Ghibli style",axolotl,2
./data/narwhal/narwhal-218.jpg,a cartoonish baby narwhal beneath icy water,narwhal,1
./data/narwhal/narwhal-101.jpg,Narwhal dressed as the monopoly guy vibing to glass animals album in a heat wave,narwhal,1
./data/axolotl/axolotl-171.jpg,"Generate an image of a axolotl, in a rainforest landscape, by the creek, lush green like the Amazon",axolotl,2
./data/narwhal/narwhal-44.jpg,"A majestic narwhal swimming in the tranquil, deep blue waters of the Arctic under the ethereal glow of the aurora borealis. Its long, ivory tusk breaks the surface of the water, catching the shimmering green and violet light from the night sky. Floating ice floes and distant, snow-covered glaciers frame the scene, creating a sense of serene and magical isolation. The style should be photorealistic with a touch of fantasy, emphasizing the crisp, cold atmosphere and the mystical quality of the moment.",narwhal,1
./data/parrot/parrot-224.jpg,give me a red parrot sitting on a tree eating chillies.,parrot,0
./data/parrot/parrot-185.jpg,Generate an image of a parrot standing at the center of shibuya in the style of persona,parrot,0
./data/narwhal/narwhal-195.jpg,a narwhal if it were in a Pixar movie. make it look evil,narwhal,1
./data/narwhal/narwhal-179.jpg,"A big narwhal with a long, twisty tusk swims in cold, blue Arctic water, near floating ice and tiny fish, looking calm in a cinematic, hyper-detailed style.",narwhal,1
./data/narwhal/narwhal-73.jpg,"Please generate a  narwhal in the ocean, swimming with a lot of small fish",narwhal,1
./data/axolotl/axolotl-96.jpg,generate a photorealistic style picture of an axolotl which is eating food in the water. The background is the underwater view of a river in the forest.,axolotl,2
./data/axolotl/axolotl-53.jpg,generate a painting of an axolotl perched on a branch in an aquarium with shells and seaweed. ,axolotl,2
./data/parrot/parrot-45.jpg,"Create an image of

A whimsical watercolor painting of a flock of colorful budgerigars perched on a flowering cherry blossom branch. The style is light and airy, with soft pastel colors and a sense of movement as some of the birds are captured mid-flight, their wings creating a gentle blur.",parrot,0
./data/narwhal/narwhal-110.jpg,"a narwhal fighting a penguin, comic-book style",narwhal,1
./data/axolotl/axolotl-14.jpg,"A curious axolotl with delicate gray gills intently observing humans through thick, foggy aquarium glass, surrounded by aquatic plants and softly glowing underwater lights",axolotl,2
./data/narwhal/narwhal-198.jpg,Can you generate an image of a swimming narwhal surrounded by friends in the sea? ,narwhal,1
./data/narwhal/narwhal-96.jpg,generate a cartoon style picture of a narwhal which is armed as mid-century knight and trying to fight with a puss in boots on the wall of a castle in the midnight.,narwhal,1
./data/narwhal/narwhal-65.jpg,create an image of a narwhal eating a croissant in paris on a sunny day watercolor,narwhal,1
./data/narwhal/narwhal-33.jpg,A narwhal leaps through the air with a horn shining in the light.,narwhal,1
./data/parrot/parrot-249.jpg,generate an image of a white parrot,parrot,0
./data/axolotl/axolotl-239.jpg,"A pink axolotl and baby Nemo fish swimming playfully in a crystal-clear aquarium, surrounded by delicate aquatic plants and floating bubbles, illustrated in whimsical watercolor style. ",axolotl,2
./data/axolotl/axolotl-3.jpg,Give me an image of a beautiful blue and heavy axolotl ,axolotl,2
